label,n_unguided,n_guided,ks_stat,ks_p,mean_shift,median_shift,direction,ligand_efficiency_shift,ligand_efficiency_degraded,pb_valid_rate_unguided,pb_valid_rate_guided,pb_degraded,ks_p_bh_corrected,significant_after_correction,verdict
MENE_BACSU_2_486_0:lambda_0.3,30,29,0.08735632183908046,0.9983187663537831,-0.24631839080459628,0.06650000000000045,correct (more negative/better),-0.004094636477009361,False,0.5,0.4482758620689655,True,0.9988393756362764,False,no_signal
MENE_BACSU_2_486_0:lambda_1.0,30,30,0.16666666666666666,0.8079631540901643,-0.29696666666666616,-0.07749999999999968,correct (more negative/better),-0.009297020869345418,False,0.5,0.1,True,0.9988393756362764,False,no_signal
NQO1_HUMAN_2_274_0:lambda_0.1,30,30,0.16666666666666666,0.8079631540901643,0.08699999999999886,0.012000000000000455,wrong (more positive/worse),0.004580563981261332,True,0.5666666666666667,0.5333333333333333,False,0.9988393756362764,False,no_signal
NQO1_HUMAN_2_274_0:lambda_0.3,30,30,0.13333333333333333,0.9578462903438838,-0.027166666666667894,-0.09049999999999958,correct (more negative/better),-0.000223605347816902,False,0.5666666666666667,0.6,False,0.9988393756362764,False,no_signal
NQO1_HUMAN_2_274_0:lambda_1.0,30,29,0.18045977011494252,0.646904674639424,0.19032758620689538,-0.07399999999999984,wrong (more positive/worse),0.005588034701559164,True,0.5666666666666667,0.3103448275862069,True,0.9988393756362764,False,no_signal
PAK4_HUMAN_291_591_ATP_0:lambda_0.1,30,30,0.1,0.9988393756362763,0.09300000000000086,0.14649999999999963,wrong (more positive/worse),0.005609263320767444,True,0.8,0.8333333333333334,False,0.9988393756362764,False,no_signal
PAK4_HUMAN_291_591_ATP_0:lambda_0.3,30,30,0.16666666666666666,0.8079631540901643,0.26750000000000007,0.26949999999999985,wrong (more positive/worse),0.015330923673085639,True,0.8,0.6666666666666666,True,0.9988393756362764,False,no_signal
PAK4_HUMAN_291_591_ATP_0:lambda_1.0,30,30,0.23333333333333334,0.39294501397971776,0.7357333333333331,0.39899999999999913,wrong (more positive/worse),0.034452509698047695,True,0.8,0.4,True,0.9988393756362764,False,no_signal
PNTM_STRAE_2_398_0:lambda_0.1,29,30,0.09425287356321839,0.9956405730507643,0.06849195402298847,-0.08300000000000018,wrong (more positive/worse),-0.0012492727477586008,False,0.6896551724137931,0.6666666666666666,False,0.9988393756362764,False,no_signal
PNTM_STRAE_2_398_0:lambda_0.3,29,30,0.09425287356321839,0.9956405730507643,-0.018408045977009735,-0.14300000000000068,correct (more negative/better),-0.005350669568832678,False,0.6896551724137931,0.6666666666666666,False,0.9988393756362764,False,no_signal
PNTM_STRAE_2_398_0:lambda_1.0,29,30,0.16091954022988506,0.7498370359248338,0.6088252873563222,-0.12650000000000006,wrong (more positive/worse),0.01799263219404129,True,0.6896551724137931,0.26666666666666666,True,0.9988393756362764,False,no_signal
RIBB_VIBCH_2_218_0:lambda_0.1,29,30,0.19770114942528735,0.5020543570588016,-0.6375724137931051,-0.17550000000000043,correct (more negative/better),-0.021419032061222365,False,0.5862068965517241,0.6,False,0.9988393756362764,False,no_signal
RIBB_VIBCH_2_218_0:lambda_0.3,29,30,0.22988505747126436,0.3237089531431965,-0.8602724137931022,-0.4684999999999997,correct (more negative/better),-0.02894740352363795,False,0.5862068965517241,0.6,False,0.9711268594295894,False,no_signal
RIBB_VIBCH_2_218_0:lambda_1.0,29,30,0.21149425287356322,0.4614741980234609,-0.7168057471264353,-0.45750000000000046,correct (more negative/better),-0.02485280393348488,False,0.5862068965517241,0.06666666666666667,True,0.9988393756362764,False,no_signal
